Angry Phil,1,424,30,10,0,5,2
Master Antonio,1,14840,138,11,0,2.75,2
Sir Thomas,1,148400,879,12,0,2,3
Mad Customer,1,1391250,10547,13,0,2,3
Carl,2,417375,2814,12,36,6,2
Charles The Great,2,2226000,10166,13,36,2.75,2
School Hater,2,8904000,434191,14,36,2,3
Happy Butcher,2,83475000,848125,15,36,2,3
Ray,3,13912500,45327,14,50,5.5,2
Anime Hater,3,111300000,202925,15,55,2.75,2
Gunter Koch,3,445200000,7879889,17,55,2,3
Miss Freeman,3,2782500000,15422755,19,55,2,3
Little Tony,4,510125000.,434191,17,60,5,2
Bloody Mary,4,3710000000,1712391,19,67,2.75,2
Neighbour,4,14840000000,90703137,21,67,2,3
Sister Scarrie,4,97387500000,602478527,23,67,2,3
Lazy Bob,5,17854375000,3738223,21,83,5,2
Katie Corn,5,129850000000,19697254,23,83,2.75,2
Naughty Rose,5,519400000000,1044296114,25,83,2,3
Nervy Max,5,1947750000000,13873461603,28,83,2,3
Barry,6,357087500000,17210191,25,93,5,2
Will,6,1947750000000,90703137,28,93,2.75,2
Jess,6,5843250000000,4809297290,31,93,2,3
Dr Harris,6,35894250000000,95837440363,34,93,2,3
